track_name,artists,track_id,album,album_release,popularity,duration_ms,top_genres
Opalite,Taylor Swift,3yWuTOYDztXjZxdE2cIRUa,The Life of a Showgirl,2025-10-03,96,235355,"country, indie folk, pop soul, pop, christian pop"
Father Figure,Taylor Swift,03bTIHJElXZ0O0jqOQvAbY,The Life of a Showgirl,2025-10-03,91,212777,"country, indie folk, pop soul, pop, christian pop"
The Fate of Ophelia,Taylor Swift,53iuhJlwXhSER5J2IYYv1W,The Life of a Showgirl,2025-10-03,100,226073,"country, indie folk, pop soul, pop, christian pop"
Elizabeth Taylor,Taylor Swift,1jgTiNob5cVyXeJ3WgX5bL,The Life of a Showgirl,2025-10-03,92,208291,"country, indie folk, pop soul, pop, christian pop"
Ruin The Friendship,Taylor Swift,62V2ZHslgQV98gH4AuVXnr,The Life of a Showgirl,2025-10-03,89,220564,"country, indie folk, pop soul, pop, christian pop"
The Art of Loving (Intro),Olivia Dean,1TZgdopOZCUxpS5bp1i0Zz,The Art of Loving,2025-09-26,76,40500,"country, indie folk, pop soul, pop, christian pop"
Eldest Daughter,Taylor Swift,62HoDY1Km6lm47haFpUn9c,The Life of a Showgirl,2025-10-03,89,246356,"country, indie folk, pop soul, pop, christian pop"
So Easy (To Fall In Love),Olivia Dean,6sGIMrtIzQjdzNndVxe397,The Art of Loving,2025-09-26,95,169000,"country, indie folk, pop soul, pop, christian pop"
Actually Romantic,Taylor Swift,2x3mwb96B6TquRqMtbxUE1,The Life of a Showgirl,2025-10-03,89,163699,"country, indie folk, pop soul, pop, christian pop"
CANCELLED!,Taylor Swift,1appZ3c336FkPvCuywfmrs,The Life of a Showgirl,2025-10-03,89,211498,"country, indie folk, pop soul, pop, christian pop"
Wi$h Li$t,Taylor Swift,2TEQvxxQabwLQMqWMg1qGu,The Life of a Showgirl,2025-10-03,90,207349,"country, indie folk, pop soul, pop, christian pop"
Nice To Each Other,Olivia Dean,7gKxCvTDWwV9wBhdeBbr3l,Nice To Each Other,2025-05-30,88,209000,"country, indie folk, pop soul, pop, christian pop"
Wood,Taylor Swift,5ylJtmaWPJ33cW3En7WOu0,The Life of a Showgirl,2025-10-03,90,150517,"country, indie folk, pop soul, pop, christian pop"
Lady Lady,Olivia Dean,1XwbJNPOcLuSRTQNR9zz4r,Lady Lady,2025-07-10,81,209000,"country, indie folk, pop soul, pop, christian pop"
I Hate It Here,Taylor Swift,3hlGuz3loYoLfI3bpwieWq,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,70,243875,"country, indie folk, pop soul, pop, christian pop"
Down Bad,Taylor Swift,2F3N9tdombb64aW6VtZOdo,THE TORTURED POETS DEPARTMENT,2024-04-18,73,261228,"country, indie folk, pop soul, pop, christian pop"
Let Alone The One You Love,Olivia Dean,3Vd4fHzwS6pBS3muymjiDi,The Art of Loving,2025-09-26,87,186000,"country, indie folk, pop soul, pop, christian pop"
Honey,Taylor Swift,4qmFC3Jz5aQ0erlk2OSi2X,The Life of a Showgirl,2025-10-03,88,181534,"country, indie folk, pop soul, pop, christian pop"
The Manuscript,Taylor Swift,1DTRUYVd8rYpla9hhVVwjo,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,65,224743,"country, indie folk, pop soul, pop, christian pop"
Look What You Made Me Do,Taylor Swift,1P17dC1amhFzptugyAO7Il,reputation,2017-11-10,78,211853,"country, indie folk, pop soul, pop, christian pop"
Man I Need,Olivia Dean,1qbmS6ep2hbBRaEZFpn7BX,Man I Need,2025-08-15,97,184000,"country, indie folk, pop soul, pop, christian pop"
loml,Taylor Swift,6RSG1dKPV5gEvILwJb4QtS,THE TORTURED POETS DEPARTMENT,2024-04-18,71,277156,"country, indie folk, pop soul, pop, christian pop"
Baby Steps,Olivia Dean,5SruEBX3KpgpDvEcIuN53P,The Art of Loving,2025-09-26,87,197000,"country, indie folk, pop soul, pop, christian pop"
Cassandra,Taylor Swift,0g4fMVo4JjwnIpTfFfLdxS,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,65,240205,"country, indie folk, pop soul, pop, christian pop"
Something Inbetween,Olivia Dean,28HadeGsalBfbVfMEkCcF7,The Art of Loving,2025-09-26,83,152000,"country, indie folk, pop soul, pop, christian pop"
I Can Do It With a Broken Heart,Taylor Swift,4q5YezDOIPcoLr8R81x9qy,THE TORTURED POETS DEPARTMENT,2024-04-18,79,218004,"country, indie folk, pop soul, pop, christian pop"
The Life of a Showgirl (feat. Sabrina Carpenter),"Taylor Swift, Sabrina Carpenter",5eXgqtg3T8Av0m1FUaGHex,The Life of a Showgirl,2025-10-03,90,241766,"country, indie folk, pop soul, pop, christian pop"
Delicate,Taylor Swift,6NFyWDv5CjfwuzoCkw47Xf,reputation,2017-11-10,81,232253,"country, indie folk, pop soul, pop, christian pop"
A Couple Minutes,Olivia Dean,312z6PZ8wwREck8613PkJk,The Art of Loving,2025-09-26,87,212000,"country, indie folk, pop soul, pop, christian pop"
But Daddy I Love Him,Taylor Swift,5og4Qzt92jJzVDkOtSEilb,THE TORTURED POETS DEPARTMENT,2024-04-18,67,340428,"country, indie folk, pop soul, pop, christian pop"
I've Seen It,Olivia Dean,6tHVEMyRfxGgQuXRzl2yOF,The Art of Loving,2025-09-26,85,126000,"country, indie folk, pop soul, pop, christian pop"
All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),Taylor Swift,5enxwA8aAbwZbf5qCHORXi,Red (Taylor's Version),2021-11-12,81,613026,"country, indie folk, pop soul, pop, christian pop"
I Look in People's Windows,Taylor Swift,1Zai5UJ2di3qEuR2HeT2s8,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,66,131907,"country, indie folk, pop soul, pop, christian pop"
Florida!!! (feat. Florence + The Machine),"Taylor Swift, Florence + The Machine",3ZVFcD8Wlw9T9klGqmJf9F,THE TORTURED POETS DEPARTMENT,2024-04-18,64,215463,"country, indie folk, pop soul, pop, christian pop"
Loud,Olivia Dean,3bUpRf4GN6SV6ejgQ4IQxT,The Art of Loving,2025-09-26,81,184000,"country, indie folk, pop soul, pop, christian pop"
Dial Drunk (with Post Malone),"Noah Kahan, Post Malone",22VHOlVYBqytsrAqV8yXBK,Dial Drunk (with Post Malone),2023-07-18,77,213817,"country, indie folk, pop soul, pop, christian pop"
Manchild,Sabrina Carpenter,2BwO5K8Q7EPAJSGze3AAh9,Man’s Best Friend,2025-08-29,88,213645,"country, indie folk, pop soul, pop, christian pop"
Close Up,Olivia Dean,15yaPgTazHHemSnHYYl8HO,The Art of Loving,2025-09-26,81,195000,"country, indie folk, pop soul, pop, christian pop"
Our Song,Taylor Swift,15DeqWWQB4dcEWzJg15VrN,Taylor Swift,2006-10-24,68,201106,"country, indie folk, pop soul, pop, christian pop"
Fresh Out The Slammer,Taylor Swift,3fO566xJgwxIa3qGCGBvIC,THE TORTURED POETS DEPARTMENT,2024-04-18,64,210789,"country, indie folk, pop soul, pop, christian pop"
Tim McGraw,Taylor Swift,0Om9WAB5RS09L80DyOfTNa,Taylor Swift,2006-10-24,60,232106,"country, indie folk, pop soul, pop, christian pop"
The Alchemy,Taylor Swift,1dhMTsEZz6ZEquGvmzVoHn,THE TORTURED POETS DEPARTMENT,2024-04-18,66,196900,"country, indie folk, pop soul, pop, christian pop"
My Boy Only Breaks His Favorite Toys,Taylor Swift,2XXwLdtuAcE0HSCu61ijAb,THE TORTURED POETS DEPARTMENT,2024-04-18,71,203801,"country, indie folk, pop soul, pop, christian pop"
Peter,Taylor Swift,3zMDGj4D8ogaYgAIZPeU7S,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,70,283957,"country, indie folk, pop soul, pop, christian pop"
Bless The Broken Road,Rascal Flatts,0gKo3I4FCEY40X37Gdkcaf,Feels Like Today,2004,51,227186,"country, indie folk, pop soul, pop, christian pop"
Strong,McKenna Hixson,71ILNxIgpaj0oOlRw6aqNJ,Peace in Christ,2017-12-01,38,187402,"country, indie folk, pop soul, pop, christian pop"
Guilty as Sin?,Taylor Swift,0W0iAC1VGlB82PI6elxFYf,THE TORTURED POETS DEPARTMENT,2024-04-18,75,254365,"country, indie folk, pop soul, pop, christian pop"
The Smallest Man Who Ever Lived,Taylor Swift,2v1ivOOsgn64g5OywuH55L,THE TORTURED POETS DEPARTMENT,2024-04-18,65,245541,"country, indie folk, pop soul, pop, christian pop"
right where you left me - bonus track,Taylor Swift,3zwMVvkBe2qIKDObWgXw4N,evermore (deluxe version),2021-01-07,76,245026,"country, indie folk, pop soul, pop, christian pop"
Who’s Afraid of Little Old Me?,Taylor Swift,36t6frENUtCYKuZus6aYDO,THE TORTURED POETS DEPARTMENT,2024-04-18,69,334084,"country, indie folk, pop soul, pop, christian pop"
